procedure,specialty
Maxillectomy/Mandibulectomy- Total without graft,Dental Procedure
Maxillofacial Prosthesis -Sal/auricular/orbital/Nasal/Palatal/facial lost/ Speech Aid,Dental Procedure
Meatoplasty,Cancer Surgery
Meatoplasty,Nephrology And Urology Procedure
Meatotomy,Nephrology And Urology Procedure
Mechanical lithotripsy of CBD stones by ERCP,Gastroenterology / Endoscopic Procedures
Mechanical lithotripsy of pancreatic stones,Gastroenterology / Endoscopic Procedures
Meckel's Scan,Gastro and Hepatobiliary/Nuclear Medicine Investigation
Meconium Ileus Operation,Paediatric Surgery Procedure
Median Nerve Decompression,Neuro-Surgery Procedure
Mediastinal Lymph Node Dissection,Cancer Surgery
Mediastinal Tumor Excision,Cancer Surgery
Mediastinoscopy,Cancer Surgery
Mediatsinal Neuroblastoma Excision,Cancer Surgery
Medical Termination of Pregnancy (MTP) - 2nd Trimester /Suction and Evacuation/Dilatation and Curettage/Dilatation and expulsion,Obstetrics And Gynaecology Procedure
Medical Termination of Pregnancy (MTP)- 1st Trimester with Medicine /Manual Vacuum Aspiration /Check Curettage,Obstetrics And Gynaecology Procedure
Medication -intracanal medicament (only lesion cases),Dental Procedure
Membranectomy both eyes,Ophthalmology Procedure
Membranectomy one eye,Ophthalmology Procedure
Meningoencephalocele excision and repair,Neuro-Surgery Procedure
Meningomyelocele Repair,Neuro-Surgery Procedure
Meniscectomy,Orthopaedics Procedure
Meniscus Repair,Orthopaedics Procedure
Mesenteric Cyst- Excision,Abdomen/GI Surgery Procedure
Mesentericocaval Anastomosis,Abdomen/GI Surgery Procedure
Metastatectomy (Both Lungs),Cancer Surgery
Metastatectomy (Single Lung),Cancer Surgery
Methylprednisolone Injection IV Infusion per day Excluding the cost of the drug,Ophthalmology Procedure
Micro laryngoscopy Chord stripping (Laser)/Laser,Cancer Surgery
Micro vascular Breast Reconstruction,Cancer Surgery
Micro-surgical Vasovasostomy /Vaso epididymal anastomosis .,Nephrology And Urology Procedure
Microdochectomy,Cancer Surgery
Microincisional trabeculectomy(MIT) per eye,Ophthalmology Procedure
Microlaryngeal Surgery,ENT Procedure
Microsurgical decompression for Trigeminal nerve,Neuro-Surgery Procedure
Microsurgical decompression for hemifacial spasm,Neuro-Surgery Procedure
Microvascular Reconstruction (Extremity),Cancer Surgery
Micturating Cystourethrography (MCU),Radiological Investigation
Minerva Jacket,Orthopaedics Procedure
Mini Fixator for Hand/Foot,Orthopaedics Procedure
Minor Treatment to Control Habits-Fixed Appliance Therapy,Dental Procedure
Minor Treatment to Control Habits-Removable Appliance Therapy,Dental Procedure
"Minor oral surgery, cyst, granuloma, residual infection, mucocele, epulis under LA",Dental Procedure
Miscellaneous Profile I(1 marker),Oncology Investigations
Miscellaneous profile II(2 markers),Oncology Investigations
Mitral valve (MV) Repair + Aortic valve (AV) Repair / Tricuspid Valve (TV) Repair + Pulmonary valve (PV) repair,Cardiovascular And Cardiac Surgery Procedure
Mitral valve Replacement(MVR)/ Aortic valve Replacement (AVR)/ Tricuspid Valve Replacement (TVR) / Pulmonary valve replacement (PVR),Cardiovascular And Cardiac Surgery Procedure
Monosomy 5/deletion 5q,Oncology Investigations
Monosomy 7/deletion 7q,Oncology Investigations
More than 2 Intermediate Procedures,Cancer Surgery
Mucous membrane grafting MMG one eyelid,Ophthalmology Procedure
Mucous membrane grafting MMG two eyelids,Ophthalmology Procedure
Multi Organ Excision,Cancer Surgery
Multigene NGS Germline Panel,Oncology Investigations
"Multiple Extraction and Treatment Procedures for Special Children, Patients with Systemic Diseases, Patient with Special Needs Which Requires Admission and Treatment Under GA",Dental Procedure
Multiple Myeloma (MM) Panel,Oncology Investigations
Multiple Myeloma High Risk Markers (4 Markers),Oncology Investigations
Multiple Myeloma Screening Panel,Oncology Investigations
Multiple Pinning Fracture Neck Femur,Orthopaedics Procedure
Multiple drugs Chemotherapy/Targeted therapy/Immunotherapy,Chemotherapy
Multiple hearing assessment test to Adults,ENT Investigation
Muscle Biopsy,Biopsies
Muscle Group Excision,Cancer Surgery
Muscular Stenting,Gastroenterology / Endoscopic Procedures
Mycobacterial culture and sensitivity,Laboratory Investigation
Myelin basic protein (MBP),Laboratory Investigation
Myelodysplastic Syndromes karyotyping,Oncology Investigations
Myelography,Radiological Investigation
Myocutaneous and Fasciocutaneous Flap Procedures for Limbs,Orthopaedics Procedure
Myomectomy -laparoscopic,Obstetrics And Gynaecology Procedure
Myomectomy -laparotomy,Obstetrics And Gynaecology Procedure
Myositis Profile (Up to 16 Antigens),Laboratory Investigation
Myringoplasty,ENT Procedure
Myringotomy with Grommet Insertion,ENT Procedure
N-terminal pro BNP (NT-pro BNP / Brain natriuretic peptide (BNP),Laboratory Investigation
NGS HLA Typing,Oncology Investigations
NGS Platform-extended Panel >50 gene,Oncology Investigations
NGS Platform-limited Panel(10 Genes),Oncology Investigations
NRAS (Neuroblastoma RAS ) Gene,Oncology Investigations
Nasal Packing-Posterior,ENT Procedure
Nasal Packing-anterior,ENT Procedure
Nebulization Per Session,Critical Care
Neck Biopsy-excisional.,Cancer Surgery
Neck Dissection-Bilateral.,Cancer Surgery
Neck Dissection-Functional/Modified/ supra omohyoid,Cancer Surgery
Neck Exploration.,Cancer Surgery
Neoadjuvant Chemotherapy,Chemotherapy
Neobladder,Cancer Surgery
Neonatal ICU charges (Per day) inclusive of incubator,Critical Care
Neostigmine test - Both Eyes,Ophthalmology Investigation
Nephrectomy Partial,Cancer Surgery
Nephrectomy Radical,Cancer Surgery
Nephrectomy Radical + IVC Thrombectomy,Cancer Surgery
Nephrectomy Simple -Open,Nephrology And Urology Procedure
Nephrectomy for - Hydronephrosis,Paediatric Surgery Procedure
Nephrectomy for -Pyonephrosis,Paediatric Surgery Procedure
Nephrolithotomy -Laparoscopic/endoscopic,Nephrology And Urology Procedure
Nephrolithotomy -open,Nephrology And Urology Procedure
Nephrostomy -Lap/Endoscopic,Nephrology And Urology Procedure
Nephrostomy -Open,Nephrology And Urology Procedure
Nephroureterectomy,Cancer Surgery
Nephroureterectomy open,Nephrology And Urology Procedure
Nerve Biopsy,Neuro-Surgery Biopsy
Nerve Repair with Grafting,Orthopaedics Procedure
"Nerve conduction velocity (NCV), -two or more limbs",Neurology Investigation
Neuro Rehabilitation Advanced (per session),Physiotherapy
Neurolysis/Nerve repair,Orthopaedics Procedure
Next Generation sequencing assay for Minimal residual disease(MRD) for NPM mutated AML,Oncology Investigations
Next generation RNA sequencing assay for Chimeric Trancript in Hematolymphod malignancies,Oncology Investigations
Night Guard,Dental Procedure
Node Biopsy,Cancer Surgery
Non Contact tonometry (NCT) - Both Eyes,Ophthalmology Investigation
Non Stress Test,Obstetrics Investigation
Non invasive Ventilator charges (Per day)( inclusive of associated disposables),Critical Care
Non-descent Vaginal Hysterectomy (NDVH) with or without BSO,Obstetrics And Gynaecology Procedure
Nonresectable Esophageal Ca Exploration,Cancer Surgery
"Normal Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia,)",Obstetrics And Gynaecology Procedure
Normal delivery with or without Episiotomy & P.repair/ forceps delivery /Vacuum delivery/assisted breech delivery including Routine New Born Care,Obstetrics And Gynaecology Procedure
OAE (Otoacoustic Emission Test),ENT Investigation
OCT (Optical Coherence Tomography) /Ocular OCT Angiography - Both Eyes,Ophthalmology Investigation
Obturator Prosthesis - Surgical/Definitive/Modification,Dental Procedure
Occlusion Analysis/Adjustment/Occlusal Equilibration,Dental Procedure
Occupational Therapy per session of at least 40 minutes,Behavioural therapy
Odontoplasty /Enameloplasty,Dental Procedure
Oesophageal Intubation (Mousseau Barbin Tube),Abdomen/GI Surgery Procedure
Oesophageal Manometry,Gastroenterology / Endoscopic Procedures
Oesophageal Stricture dilatation,Gastroenterology / Endoscopic Procedures
Oesophageal pH metry,Gastroenterology / Endoscopic Procedures
Oesophageal stenting excluding the cost of stent,Gastroenterology / Endoscopic Procedures
Oesophagoscopy with foreign body removal from Oesophagus,ENT Procedure
Of Internal Stenting,Cancer Surgery
Oligoclonal bands (OCBs),Laboratory Investigation
Omphalocele 1st Stage (Hernia Repair),Paediatric Surgery Procedure
Omphalocele 2nd Stage (Hernia Repair),Paediatric Surgery Procedure
Omphalomesenteric Cyst Excision,Paediatric Surgery Procedure
Omphalomesenteric Duct- Excision,Paediatric Surgery Procedure
One Sided (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure
Open Biopsy Of Vertebra,Cancer Surgery
Open Drainage of Perinephric Abscess,Nephrology And Urology Procedure
Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,Orthopaedics Procedure
Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,Orthopaedics Procedure
Open Reduction of Dislocations,Orthopaedics Procedure
Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,Orthopaedics Procedure
Open Reduction of fracture of Long Bones of Upper / Lower Limb -Nailing & External Fixation,Orthopaedics Procedure
Open Reduction of fracture of Long Bones of Upper /Lower Limb -AO Procedures,Orthopaedics Procedure
Open Retropubic Prostatectomy,Nephrology And Urology Procedure
Open Suprapubic Prostatectomy,Nephrology And Urology Procedure
Operation for Bleeding Peptic Ulcer,Abdomen/GI Surgery Procedure
Operation for Cervical Rib,ENT Procedure
Operation for Gastrojejunal Ulcer,Abdomen/GI Surgery Procedure
Operation for Hydatid Cyst of Liver,Abdomen/GI Surgery Procedure
"Operation for Intestinal Obstruction including resection , anastomosis, Adhesiolysis",Abdomen/GI Surgery Procedure
"Operation for Intestinal perforation including resection, anastomosis , Adhesiolysis",Abdomen/GI Surgery Procedure
Operation for Torsion of Testis,Nephrology And Urology Procedure
Operation of Choledochal Cyst,Paediatric Surgery Procedure
Operation on Adrenal Glands - Bilateral,Abdomen/GI Surgery Procedure
Operation on Adrenal Glands - Unilateral,Abdomen/GI Surgery Procedure
Operations for Benign Tumours of Small Intestine,Abdomen/GI Surgery Procedure
Operations for Brachial Plexus & Cervical Rib,Orthopaedics Procedure
Operations for Crippled Hypospadias,Nephrology And Urology Procedure
Operations for Cyst of the Kidney -open,Nephrology And Urology Procedure
Operations for Cyst of the Kidney Lap/endoscopic,Nephrology And Urology Procedure
Operations for Epispadias -primary repair,Nephrology And Urology Procedure
Operations for Epispadias-crippled epispadias,Nephrology And Urology Procedure
Operations for Exstrophy of the Bladder- Multistage repair,Nephrology And Urology Procedure
Operations for Exstrophy of the Bladder- Single stage repair,Nephrology And Urology Procedure
Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,Nephrology And Urology Procedure
Operations for GI Bleed,Abdomen/GI Surgery Procedure
Operations for Haemorrhage of Small Intestines,Abdomen/GI Surgery Procedure
Operations for Hydrocele - Bilateral,Nephrology And Urology Procedure
Operations for Hydrocele - Unilateral,Nephrology And Urology Procedure
Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,Nephrology And Urology Procedure
Operations for Hydronephrosis -pyeloplasty open,Nephrology And Urology Procedure
Operations for Hydronephrosis Endopyelotomy antegrade,Nephrology And Urology Procedure
Operations for Hydronephrosis Endopyelotomy retrograde,Nephrology And Urology Procedure
Operations for Hydronephrosis ureterocalicostomy,Nephrology And Urology Procedure
Operations for Hydronephrosis-Ileal ureter,Nephrology And Urology Procedure
Operations for Hypospadias + Chordee Correction,Nephrology And Urology Procedure
Operations for Hypospadias - One Stage Repair,Nephrology And Urology Procedure
Operations for Hypospadias - Second Stage,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Female -Open,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Female-Bulking agent,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Female-Sling,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Male -Open,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Male -Sling,Nephrology And Urology Procedure
Operations for Incontinence of Urine - Male-Bulking agent,Nephrology And Urology Procedure
Operations for Injuries of the Bladder,Nephrology And Urology Procedure
Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),Abdomen/GI Surgery Procedure
Operations for Replacement of Oesophagus by Colon / Colon-Inter position or Replacement of Oesophagus,Abdomen/GI Surgery Procedure
Operations for Sigmoid Diverticulitis,Abdomen/GI Surgery Procedure
Operations for Ureter -for Ectopia of Single Ureter,Nephrology And Urology Procedure
Operations for Ureter for -Double Ureters,Nephrology And Urology Procedure
Operations for Varicocele Bilateral --Microsurgical,Nephrology And Urology Procedure
Operations for Varicocele Palomo-s Bilateral - Laparoscopic,Nephrology And Urology Procedure
Operations for Varicocele Palomo-s Unilateral -Laparoscopic,Nephrology And Urology Procedure
Operations for Varicocele Unilateral Microsurgical,Nephrology And Urology Procedure
Operations for Vesicoureteral Reflux (VUR) -Open,Nephrology And Urology Procedure
Operations for Vesicoureteral Reflux (VUR)-Lap/Endoscopic,Nephrology And Urology Procedure
Operations for Vesicoureteral Reflux (VUR)/ Urinary incontinence with bulking agents,Nephrology And Urology Procedure
Operations for Volvulus of Large Bowel,Abdomen/GI Surgery Procedure
Operations of the Duplication of the Intestines - including Exploratory Laparotomy,Abdomen/GI Surgery Procedure
Operative Hysteroscopy,Cancer Surgery
Operculectomy- Pericoronal flap excision,Dental Procedure
Oral Cavity Fulguration (Laser),Cancer Surgery
Oral cavity excision-Large lesion Laser.,Cancer Surgery
Oral cavity excision-Smnall lesion -Laser.,Cancer Surgery
Orbital Abscess incision and Drainage per eye,Ophthalmology Procedure
Orbital Angiographical Studies - Bilateral,Ophthalmology Investigation
Orbital Exenteration (Paediatric),Cancer Surgery
Orbital decompression /with incision or excision biopsy per eye,Ophthalmology Procedure
Orbital mass biopsy.,Cancer Surgery
Orbital mass excision,Cancer Surgery
Orbitotomy per eye,Ophthalmology Procedure
Orchidectomy-Simple,Nephrology And Urology Procedure
Orchidopexy - Bilateral -Lap/Endoscopic,Nephrology And Urology Procedure
Orchidopexy - Bilateral -Open,Nephrology And Urology Procedure
Orchidopexy - Unilateral -Open,Nephrology And Urology Procedure
Orchidopexy - Unilateral- Lap/Endoscopic,Nephrology And Urology Procedure
Oroantral Fistula closure,Dental Procedure
Ortho Scanogram,Radiological Investigation
Orthoptic check-up- with synoptophore- Both Eyes,Ophthalmology Investigation
Orthoptic exercises per session,Ophthalmology Physiotherapy
Osmolality serum,Laboratory Investigation
Osmolality urine,Laboratory Investigation
Osmotic Fragility Test,Laboratory Investigation
"Osseous, Oste periosteal, or Cartilage graft of the Mandible or Maxilla - autogenous or non-autogenous bone graft",Dental Procedure
Osteoplasty - for Orthognathic deformities/ Mandibular Rami/ Body of Mandible,Dental Procedure
Otoplasty,ENT Procedure
Ovarian Cystectomy - Laparoscopic.,Obstetrics And Gynaecology Procedure
Ovarian Cystectomy - Laparotomy.,Obstetrics And Gynaecology Procedure
Ovarian Mass/Cyst Excision of,Cancer Surgery
P ANCA-IFA,Laboratory Investigation
PCR + Sanger Sequencing per Amplicon,Oncology Investigations
PCR for Herpes simplex,Laboratory Investigation
PCR for Human immunodeficiency virus (HIV),Laboratory Investigation
PCR for Tuberculosis (TB),Laboratory Investigation
"PDGFRA (4q12), PDGFRB (5q33), FGFR1 (8p11.2) rearrangement",Oncology Investigations
PDGFRA rearrangement: 4q12,Oncology Investigations
PDGFRB rearrangement: 5q33,Oncology Investigations
PDL 1,Oncology Investigations
PDL-1-28-8 (FDA Approved),Oncology Investigations
PFCL Injection Per Eye Including Cost of The Drug,Ophthalmology Procedure
PICC Line Removal,Critical Care
PICC line (peripherally inserted Central Cannulisation),Critical Care
PIK3CA GENE MUTATION,Oncology Investigations
PIK3CA Mutation Testing,Oncology Investigations
PLA2 receptor antibody quantitative,Laboratory Investigation
"PML-RARA t(15;17), variants",Oncology Investigations
PRA Screen,Oncology Investigations
PSMA PET CT Scan,Nuclear Medicine Investigation
PTH(Parathormone),Laboratory Investigation
PTK- Phototherapeutic keratectomy /PRK for keratoconus per eye,Ophthalmology Procedure
PTPRT: Deletion 20q,Oncology Investigations
Packed Cell Volume (PCV),Laboratory Investigation
Paediatric Rehabilitation (per session),Physiotherapy
Paediatric cataract surgery +parsplana capsulotomy + anterior vitrectomy excluding the cost of IOL - Both Eyes,Ophthalmology Procedure
Paediatric cataract surgery +parsplana capsulotomy + anterior vitrectomy excluding the cost of IOL - one eye,Ophthalmology Procedure
Palatopharyngoplasty,ENT Procedure
Palliative Bowel Bypass,Cancer Surgery
Pan endoscopy.,Cancer Surgery
Pancreas Triple Bypass,Cancer Surgery
Pancreas Tumor Enucleation,Cancer Surgery
Pancreatectomy Distal,Cancer Surgery
Pancreatectomy Subtotal,Cancer Surgery
Pancreatectomy Total,Cancer Surgery
Pancreatectomy Whipple's Procedure,Cancer Surgery
Pancreatic Fistula Closure,Cancer Surgery
Pancreatic Ring Operation,Paediatric Surgery Procedure
Pancreatic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures
Pancreatic stone extraction by ERCP,Gastroenterology / Endoscopic Procedures
Pancreatic stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures
Pancreaticoduodenctomy,Cancer Surgery
Pancreaticoduodenectomy (Whipple's procedure),Abdomen/GI Surgery Procedure
Panel Reactive Antibodies (PRA) class I,Oncology Investigations
Panel Reactive Antibodies (PRA) class II,Oncology Investigations
Pap Smear,Laboratory Investigation
Paracentesis (eye) per eye,Ophthalmology Procedure
Paraneoplastic Panel,Laboratory Investigation
Paraspinal Tumor Excision,Cancer Surgery
Parathyroid Scan,Nuclear Medicine Investigation
Parathyroid excision.,Cancer Surgery
Parotidectomy - Superficial,ENT Procedure
Parotidectomy - Total,ENT Procedure
Parotidectomy with neck dissection.,Cancer Surgery
Parotidectomy-Radical/Superficial/ Total.,Cancer Surgery
"Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59",Laboratory Investigation
Pars plana lensectomy with/without IOL excluding the cost of IOL per eye,Ophthalmology Procedure
Partial Amputation of Pinna,ENT Procedure
Partial Amputation of the Penis,Nephrology And Urology Procedure
Partial Cystectomy,Nephrology And Urology Procedure
Partial Nephrectomy -open,Nephrology And Urology Procedure
Partial Nephrectomy-Laparoscopic/Endoscopic,Nephrology And Urology Procedure
Partial Ostectomy / sequestrectomy for removal of non-vital bone,Dental Procedure
Partial Thyroidectomy (lobectomy),ENT Procedure
Partial/Subtotal Gastrectomy for Ulcer,Abdomen/GI Surgery Procedure
Patent Ductus Arteriosus (PDA)-Device Closure,Cardiovascular And Cardiac Surgery Procedure
Pelvi-acetabular fracture -Internal fixation,Orthopaedics Procedure
Pelvic Exenteration Total,Cancer Surgery
Pelvic Floor Repair(Rectocele +/- Cystocele +/- Enterocele),Obstetrics And Gynaecology Procedure
Pelvic Neuroblastoma Excision,Cancer Surgery
Pelvic Posterior Exenteration,Cancer Surgery
"Pelvic USG (gynae, infertility, prostate , KUB with post- void residual (PVR) etc ).",Radiological Investigation
Penetrating keratoplasty with IOL implantation per eye,Ophthalmology Procedure
Penetrating keratoplasty with glaucoma surgery per eye,Ophthalmology Procedure
Penetrating keratoplasty with vitrectomy per eye,Ophthalmology Procedure
Peneumonectomy Partial/Total,Cancer Surgery
Penile Reconstruction,Cancer Surgery
Per Day Ward charges,Ward charges
Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,Nephrology And Urology Procedure
Percutaneous Nephrolithotomy (PCNL) - Bilateral,Nephrology And Urology Procedure
Percutaneous Nephrolithotomy (PCNL) - Unilateral,Nephrology And Urology Procedure
Percutaneous Transhepatic Biliary Drainage (PTBD),Gastroenterology/Interventional Radiology Procedures
Percutaneous Vertebral Biopsy,Cancer Surgery
Percutaneous transhepatic cholangiography (PTC),Interventional Radiological Procedure
Perforating injury repair (eye) per eye,Ophthalmology Procedure
Perforation of Uterus after D/E Laparotomy & Closure,Obstetrics And Gynaecology Procedure
Pericardial Tap,Cancer Surgery
Pericardiectomy,Cardiovascular And Cardiac Surgery Procedure
Pericardiectomy,Cancer Surgery
Pericardiocentesis,Cardiovascular And Cardiac Surgery Procedure
Perimetry (Visual Field Testing) -Goldman- Both Eyes,Ophthalmology Investigation
Perimetry /Humphrey Visual Field (HVF ) test- Automated- Both Eyes,Ophthalmology Investigation
Perineal Urethrostomy,Nephrology And Urology Procedure
Peripheral Angioplasty with Vascular Closure Device (VCD) excluding the cost of Stent,Cardiology Procedure
Peripheral Angioplasty without Vascular Closure Device (VCD) excluding the cost of Stent,Cardiology Procedure
Peripheral Nerve Surgery - Major,Neuro-Surgery Procedure
Peripheral Nerve Surgery Minor,Neuro-Surgery Procedure
Peripheral Smear Examination,Laboratory Investigation
Peritoneal Dialysis,Nephrology And Urology Procedure
Peritonsillar abscess Drainage under LA,ENT Procedure
Permanent pacemaker implantation (PPI)- Biventricular excluding the cost of pacemaker,Cardiology Procedure
Permanent pacemaker implantation (PPI)- Single Chamber excluding the cost of Pacemaker,Cardiology Procedure
Permanent pacemaker implantation- Dual Chamber excluding the cost of Pacemaker,Cardiology Procedure
Permcath Insertion excluding the cost of the catheter,Nephrology And Urology Procedure
Peustow's Procedure,Cancer Surgery
Peyronie-s Disease - Plaque excision with grafting,Nephrology And Urology Procedure
Ph-like ALL Panel (4 Markers),Oncology Investigations
Ph: t(9;22) karyotyping,Oncology Investigations
Phaco with foldable IOL (silicone and acrylic)/PMMA IOL / MICS surgery excluding the cost of IOL per eye,Ophthalmology Procedure
Pharyngeactomy-Partial.,Cancer Surgery
Pharyngoplasty,ENT Procedure
Phimosis Under LA,General Surgery
Phonosurgery,ENT Procedure
Phosphorus-32 therapy for metastatic bone pain palliation,Radio-Isotope Therapy
Phototherapy per session (up to 6 Hours),Critical Care
Piles banding,Gastroenterology / Endoscopic Procedures
Placement of Intracranial pressure (ICP) Monitor,Neuro-Surgery Procedure
Plaque brachytherapy-intraocular affected eye,Ophthalmology Procedure
Plaque brachytherapy-surface affected eye,Ophthalmology Procedure
Plasma Exchange/ Plasmapheresis,Nephrology And Urology Procedure
Plasma Free Normetanephrine,Laboratory Investigation
Plasma Metanephrines,Laboratory Investigation
Plasma renin activity,Laboratory Investigation
Plaster Jacket,Orthopaedics Procedure
Plaster Work,Orthopaedics Procedure
Plastic Surgery for Facial Paralysis (Support with Reanimation),Burns And Plastic Surgery Procedure
Plastic Surgery of Different Regions of the Ear -Major,Burns And Plastic Surgery Procedure
Plastic Surgery of Different Regions of the Ear -Minor,Burns And Plastic Surgery Procedure
Plastic Surgery of the Nose - Major,Burns And Plastic Surgery Procedure
Plastic Surgery of the Nose - Minor,Burns And Plastic Surgery Procedure
Plate Fixations for Fracture Neck Femur,Orthopaedics Procedure
Platelet Concentrate - Single Donor Platelet (SDP)- Apheresis per unit,Blood Component Charges
Platelet Concentrate Test,Laboratory Investigation
Platelet Concentrate- Random Donor Platelet (RDP),Blood Component Charges
Platelet Count,Laboratory Investigation
Platelet Function Tests,Laboratory Investigation
Pleoptic exercises per session,Ophthalmology Physiotherapy
Pleural Tap,Cancer Surgery
Pleurodesis Talc,Cancer Surgery
Ploidy analysis,Oncology Investigations
Pneumonectomy,Cancer Surgery
Pneupac Ventilator in Nursery (Per day),Critical Care
Polyp removal Nose (Septal polyp),ENT Procedure
Polyp removal ear,ENT Procedure
Polyp removal under GA (Larynx),ENT Procedure
Polyp removal under LA (Larynx),ENT Procedure
Polysomnography (PSG) / Level I Sleep study including Room Rent and Titration,Neurology Investigation
Popliteal Clearance of Nodes,Cancer Surgery
Portal Haemodynamic Studies,Gastroenterology/Interventional Radiology Procedures
Portocaval Anastomosis,Abdomen/GI Surgery Procedure
Post Coital Smear Examination,Laboratory Investigation
Post-Transplant Collection drainage for Lymphocele (Laparoscopic),Nephrology And Urology Procedure
Post-Transplant Collection drainage for Lymphocele (open),Nephrology And Urology Procedure
Post-Transplant Collection drainage for Lymphocele (percutaneous),Nephrology And Urology Procedure
Posterior Cruciate Ligament (PCL) Reconstruction,Orthopaedics Procedure
Posterior Urethral Valve fulguration.,Nephrology And Urology Procedure
Premaxillectomy.,Cancer Surgery
Primary Bone Grafting for Alveolar Cleft in Cleft Lip,Burns And Plastic Surgery Procedure
Probing and Syringing of lacrimal sac- in both eye,Ophthalmology Procedure
Probing and Syringing of lacrimal sac- in one eye,Ophthalmology Procedure
Procalcitonin,Laboratory Investigation
Progesterone,Laboratory Investigation
Programmable Ventriculo-Peritoneal (VP) shunt excluding the cost of the Device,Neuro-Surgery Procedure
Prolactin,Laboratory Investigation
Prolapse Rectum - Rectopexy,Abdomen/GI Surgery Procedure
Prolapse Rectum - Thiersch Wiring,Abdomen/GI Surgery Procedure
Prostate Biopsy,Cancer Surgery
Prostate Specific Antigen (PSA)- Total,Laboratory Investigation
Prostate Transurethral Resection of Ureter Resection Anastomosis,Cancer Surgery
Prostate-Specific Antigen (PSA) - Free,Laboratory Investigation
Prostatectomy Radical,Cancer Surgery
Prosthetic Surgery for urinary incontinence,Nephrology And Urology Procedure
"Protein Creatinine Ratio (PCR), Urine / Albumin Creatinine Ratio (ACR), Urine",Laboratory Investigation
Prothrombin Time (PT)/ International normalized ratio (INR),Laboratory Investigation
Proximal Femur Nail (PFN) for IT fracture (Intertrochanteric Fractures),Orthopaedics Procedure
Pterygium surgery with auto conjunctival graft per eye,Ophthalmology Procedure
Ptosis surgery with Fasanella-Servat procedure /Ptosis surgery with LPS resection one lid Ptosis surgery with Sling surgery one lid,Ophthalmology Procedure
Pull Through Abdominal Resection,Abdomen/GI Surgery Procedure
Pulmonary Artery Banding (PA Banding) Septostomy,Cardiovascular And Cardiac Surgery Procedure
Pulmonary Function Test (PFT) / (Spirometry with Diffusing Capacity of the Lungs for Carbon monoxide (DLCO),Pulmonology Investigation
Pulpectomy (Anterior Tooth),Dental Procedure
Pulpectomy (Posterior Tooth),Dental Procedure
Pulpotomy,Dental Procedure
Punch/Wedge biopsy,Biopsies
Punctal plug(Collagen/silicone) per eye,Ophthalmology Procedure
Punctal plugs for dry eyes - Both Eyes,Ophthalmology Procedure
Punctoplasty (per eye),Ophthalmology Procedure
Pure Tone Audiogram / Pure Tone Audiometry / PTA,ENT Investigation
Pyelolithotomy -Laparoscopic/endoscopic,Nephrology And Urology Procedure
Pyelolithotomy-open,Nephrology And Urology Procedure
Pyloric balloon dilatation,Gastroenterology / Endoscopic Procedures
Pyloromyotomy,Abdomen/GI Surgery Procedure
"Quadruple test (AFP,HCG,UE3,Inhibin A)",Laboratory Investigation
QuantiFERON TB Gold,Laboratory Investigation
RARA Variant - ZBTB16 / RARA : t(11;17) (1 marker),Oncology Investigations
RB TTT/ Cryotherapy affected eye,Ophthalmology Procedure
RB intravitreal/intravenous/subtenons chemotherapy affected eye excluding the cost of the chemotherapy drug,Ophthalmology Procedure
RCT Multiple root and/ canal tooth,Dental Procedure
RCT-Single Rooted tooth,Dental Procedure
RHOA Mutation Detection Assay,Oncology Investigations
RNS( Repetitive Nerve stimulation),Neurology Investigation
ROS 1,Oncology Investigations
RQ PCR based assay for MRD monitoring of Acute Leukaemia,Oncology Investigations
RQ-PCR BCR-ABL (P210),Oncology Investigations
RQ-PCR PML-RARA,Oncology Investigations
"RT-PCR Multiplex, Acute Leukaemia Panel",Oncology Investigations
"RT-PCR Multiplex, BCR-ABL (P190, P210)",Oncology Investigations
"RT-PCR Nested, IGH Chain Gene Rearrangement /TCR Gene Rearrangement",Oncology Investigations
Radical Cystectomy,Cancer Surgery
Radical Hysterectomy + Pelvic Lymphadecectomy (Wertheims),Cancer Surgery
Radical Nephrectomy (Paed.) + Bowel Excl.,Cancer Surgery
Radical Nephrectomy (Paediatric),Cancer Surgery
Radical/Simple Mastectomy,Cancer Surgery
